order_id,order_date,warehouse,status,units,fulfillment_cost
5091,2024-05-09,WH-South,Cancelled,4.0,160.56
5092,2024-04-24, WH-South,,4.0,345.43
5093,2024-05-19,wh-north,Delivered,,146.83
5094,2024-02-28,WH-South,,,336.19
5095,2024-04-13,WH-North,Delivered,1.0,81.83
5096,2024-07-08,WH-West,Delivered,1.0,88.02
5097,2024-08-03,wh-north,,3.0,319.45
5098,2024-06-26,WH-North,Delayed,2.0,120.89
5099,2024-04-24,WH-East,Delivered,3.0,487.68
5100,2024-05-20,WH-South,Delivered,3.0,148.04
5101,2024-02-16,WH-East,Delayed,1.0,263.59
5102,2024-05-08,WH-South,Delivered,5.0,399.31
5103,2024-01-24,WH-North,Delivered,4.0,314.06
5104,2024-04-10,WH-East,Delivered,,154.76
5105,2024-05-29,WH-South,,,402.82
5106,2024-06-01,WH-East,,4.0,117.26
5107,2024-07-04, WH-South,Delivered,1.0,421.19
5108,2024-07-02, WH-South,Delayed,,365.47
5109,2024-05-09,wh-north,Cancelled,5.0,425.72
5110,2024-07-24, WH-South,Cancelled,,357.3
5111,2024-06-26,WH-South,Delivered,1.0,68.84
5112,2024-06-12,WH-North,Delayed,4.0,301.34
5113,2024-06-09, WH-South,Cancelled,,160.05
5114,2024-03-08,WH-West,Delivered,,469.63
5115,2024-08-17,WH-North,,5.0,79.72
5116,2024-07-07,WH-East,Delivered,3.0,155.65
5117,2024-07-12,WH-South,,,489.08
5118,2024-05-06,WH-North,Delayed,,179.29
5119,2024-01-12, WH-South,,2.0,84.86
5120,2024-02-07,WH-East,,,361.8
5121,2024-06-08,WH-South,Delivered,4.0,77.3
5122,2024-03-09,WH-North,,2.0,354.07
5123,2024-03-15,wh-north,Delivered,4.0,259.65
5124,2024-07-15,wh-north,Delivered,3.0,490.16
5125,2024-08-27,WH-North,Delivered,4.0,84.41
5126,2024-05-09,WH-East,Delayed,2.0,462.45
5127,2024-08-26,WH-North,Cancelled,1.0,113.78
5128,2024-05-14,WH-East,Delivered,5.0,419.1
5129,2024-05-10,WH-North,,3.0,154.12
5130,2024-08-17,WH-West,Delivered,2.0,51.62
5131,2024-05-05,WH-West,Delayed,3.0,377.23
5132,2024-04-16,WH-West,Delivered,1.0,428.1
5133,2024-01-01,WH-East,Delayed,1.0,472.95
5134,2024-02-20,WH-North,,3.0,163.95
5135,2024-01-17,WH-West,Cancelled,1.0,212.32
5136,2024-04-19,WH-North,Delivered,1.0,73.23
5137,2024-06-18, WH-South,Delivered,2.0,486.97
5138,2024-04-21,WH-East,Delivered,3.0,403.31
5139,2024-04-19, WH-South,Delayed,5.0,297.15
5140,2024-07-03,WH-North,,4.0,252.89
5141,2024-07-11, WH-South,Delivered,4.0,72.04
5142,2024-08-25,WH-South,Delivered,4.0,236.69
5143,2024-03-13,WH-East,,,489.33
5144,2024-03-07, WH-South,Delivered,3.0,267.43
5145,2024-06-20,WH-North,Delivered,,122.75
5146,2024-02-23,WH-West,Cancelled,2.0,253.84
5147,2024-03-26,WH-West,Delivered,5.0,136.58
5148,2024-01-24,WH-East,Cancelled,1.0,193.68
5149,2024-04-04,wh-north,Delivered,1.0,387.35
5150,2024-04-15,WH-West,,5.0,144.5
5151,2024-03-10,WH-North,Delayed,3.0,308.43
5152,2024-04-02, WH-South,Cancelled,5.0,333.33
5153,2024-08-08,WH-North,Delivered,2.0,223.05
5154,2024-06-14,WH-West,Delivered,1.0,107.26
5155,2024-04-18,WH-West,Cancelled,4.0,50.08
5156,2024-04-10,WH-West,Delayed,2.0,402.4
5157,2024-02-27,WH-South,Cancelled,,99.0
5158,2024-07-30, WH-South,,4.0,88.25
5159,2024-07-17,WH-North,Delivered,2.0,306.22
5160,2024-01-10, WH-South,Delivered,2.0,331.91
5161,2024-05-15,WH-West,,1.0,94.75
5162,2024-03-17,wh-north,Delivered,4.0,167.4
5163,2024-07-21,WH-North,Delivered,5.0,185.68
5164,2024-04-27,WH-East,,2.0,263.89
5165,2024-03-01,WH-South,Delivered,4.0,367.09
5166,2024-03-19,WH-North,Delivered,4.0,448.18
5167,2024-06-14,WH-North,Delivered,2.0,350.31
5168,2024-08-24,WH-South,Delayed,1.0,363.12
5169,2024-07-02,WH-East,,4.0,139.14
5170,2024-07-23, WH-South,Cancelled,1.0,142.35
5171,2024-02-21,WH-South,Delivered,4.0,149.65
5172,2024-07-13,WH-North,Cancelled,4.0,324.54
5173,2024-08-17,WH-West,Delayed,,75.39
5174,2024-06-01,WH-West,Delivered,2.0,60.63
5175,2024-06-01,WH-West,Delivered,,77.06
5176,2024-04-10, WH-South,Delivered,,100.94
5177,2024-01-21,WH-East,Delivered,2.0,343.61
5178,2024-05-14,WH-West,Delivered,3.0,348.99
5179,2024-04-06,WH-East,Delayed,2.0,99.03
5180,2024-01-21,WH-North,Delivered,4.0,479.98
5181,2024-02-01,WH-South,Delayed,3.0,395.93
5182,2024-03-20,WH-North,Delivered,,263.06
5183,2024-04-05,WH-West,Delivered,3.0,213.91
5184,2024-08-17,WH-North,,4.0,161.61
5185,2024-06-09,WH-North,Delayed,1.0,258.82
5186,2024-07-24,WH-East,Delivered,,78.28
5187,2024-06-04,WH-East,Delivered,3.0,480.96
5188,2024-06-06,WH-East,,,360.31
5189,2024-08-24,WH-East,Delivered,,390.04
5190,2024-08-22,WH-North,Delivered,2.0,98.27
5191,2024-07-02,WH-West,Delivered,4.0,416.66
5192,2024-02-03,WH-South,Delivered,,186.49
5193,2024-06-26,wh-north,Delivered,3.0,437.56
5194,2024-04-27,wh-north,Delivered,5.0,138.79
5195,2024-07-11,WH-South,Delayed,1.0,342.3
5196,2024-05-03,wh-north,Delivered,2.0,491.12
5197,2024-08-14,WH-North,Delivered,5.0,87.84
5198,2024-01-25,WH-West,,4.0,127.94
5199,2024-02-04,WH-West,Cancelled,,155.72
5200,2024-05-17,WH-North,Delivered,3.0,175.73
5201,2024-03-09,WH-East,,3.0,139.64
5202,2024-03-04,WH-South,Delivered,2.0,176.61
5203,2024-08-20,WH-South,Delivered,1.0,228.23
5204,2024-03-03,wh-north,Delivered,,413.8
5205,2024-06-16,WH-North,Delivered,1.0,263.64
5206,2024-07-28,WH-West,Delivered,1.0,444.6
5207,2024-02-29,WH-North,Delivered,5.0,487.83
5208,2024-05-29,WH-North,Delivered,5.0,439.76
5209,2024-04-24,WH-East,,1.0,97.6
5210,2024-06-01,wh-north,Delivered,2.0,66.85
5211,2024-03-28,WH-North,Delivered,3.0,67.21
5212,2024-07-06,WH-South,Delivered,3.0,234.05
5213,2024-04-05,wh-north,Delivered,1.0,141.53
5214,2024-07-22,wh-north,Delayed,1.0,233.68
5215,2024-07-22, WH-South,Cancelled,2.0,337.63
5216,2024-01-24,WH-South,Delayed,,172.03
5217,2024-03-13,WH-East,Delayed,1.0,190.56
5218,2024-05-25,WH-West,Delayed,1.0,438.91
5219,2024-07-24, WH-South,Delivered,4.0,377.61
5220,2024-02-22,WH-West,Delivered,4.0,101.09
5221,2024-01-24,wh-north,Delivered,4.0,397.87
5222,2024-02-03,WH-North,Cancelled,2.0,338.3
5223,2024-08-20,WH-North,Cancelled,5.0,467.25
5224,2024-07-07,WH-South,Delivered,3.0,177.48
5225,2024-05-13,WH-North,Delivered,4.0,270.73
5226,2024-07-25,WH-East,Delivered,1.0,489.0
5227,2024-05-03,WH-North,Cancelled,,224.55
5228,2024-08-19,wh-north,,2.0,338.15
5229,2024-08-07,wh-north,Delayed,5.0,430.86
5230,2024-07-31,WH-South,Cancelled,2.0,68.77
5231,2024-08-28,WH-South,Delayed,3.0,105.38
5232,2024-03-04,WH-South,Delivered,5.0,429.12
5233,2024-06-21, WH-South,Delivered,1.0,225.43
5234,2024-04-26, WH-South,Delivered,,239.03
5235,2024-05-29,WH-West,Delayed,,215.35
5236,2024-05-08,WH-South,Delivered,1.0,328.5
5237,2024-05-05,WH-South,Delayed,5.0,400.99
5238,2024-04-27,WH-West,Delayed,1.0,80.2
5239,2024-04-01,WH-East,Delivered,4.0,276.95
5240,2024-06-17,WH-North,,2.0,87.01
5241,2024-07-06, WH-South,Cancelled,1.0,74.42
5242,2024-05-09, WH-South,Delivered,1.0,435.68
5243,2024-06-06, WH-South,Delivered,2.0,109.23
5244,2024-08-14,WH-East,Delivered,,404.77
5245,2024-08-26,WH-North,Delivered,5.0,390.28
5246,2024-02-10,wh-north,Delivered,4.0,114.61
5247,2024-05-08,WH-South,Cancelled,3.0,327.14
5248,2024-03-01,WH-East,Delivered,2.0,131.94
5249,2024-02-11,WH-East,,3.0,452.94
5250,2024-02-13,WH-North,Cancelled,1.0,336.34
5251,2024-04-02,wh-north,Cancelled,5.0,359.93
5252,2024-08-17,WH-East,Cancelled,,435.47
5253,2024-07-07,WH-East,Delayed,3.0,309.81
5254,2024-04-02,WH-North,Delayed,2.0,129.54
5255,2024-07-09,WH-East,Cancelled,3.0,189.53
5256,2024-08-10, WH-South,Delivered,,50.81
5257,2024-01-09,WH-South,Delivered,5.0,331.53
5258,2024-04-16,WH-East,Delivered,2.0,269.78
5259,2024-06-05,WH-North,Delivered,1.0,51.18
5260,2024-03-31,WH-North,Cancelled,3.0,290.35
5261,2024-04-15,WH-East,Cancelled,2.0,141.88
5262,2024-06-08,WH-South,Delivered,1.0,471.47
5263,2024-03-03,WH-South,Delayed,1.0,78.65
5264,2024-02-07,WH-East,Delayed,3.0,485.21
5265,2024-01-15,wh-north,Delivered,5.0,340.52
5266,2024-04-23,wh-north,,4.0,161.82
5267,2024-08-19,WH-North,Delivered,5.0,61.35
5268,2024-02-17,WH-South,Delivered,1.0,55.56
5269,2024-05-21,WH-South,Delivered,4.0,139.78
5270,2024-06-04,wh-north,,,236.86
5271,2024-06-05,wh-north,Delivered,1.0,185.12
5272,2024-01-13,WH-West,,5.0,52.86
5273,2024-08-04, WH-South,Delayed,1.0,383.79
5274,2024-04-25,WH-South,Delivered,3.0,154.53
5275,2024-01-10,WH-East,,,474.28
5276,2024-03-08,WH-North,Delivered,,299.2
5277,2024-04-21,wh-north,Delivered,3.0,338.9
5278,2024-08-16,WH-North,Cancelled,1.0,126.4
5279,2024-08-19, WH-South,Delivered,2.0,385.77
5280,2024-03-24,WH-West,Delivered,5.0,157.63
5281,2024-08-20, WH-South,,5.0,261.27
5282,2024-08-02, WH-South,Delivered,1.0,246.75
5283,2024-07-04,wh-north,Delivered,2.0,226.2
5284,2024-05-29,wh-north,Delivered,2.0,64.81
5285,2024-01-29,wh-north,Delivered,3.0,489.83
5286,2024-06-28,WH-North,Delivered,2.0,361.68
5287,2024-06-11, WH-South,Delivered,,71.01
5288,2024-08-07,WH-East,Delivered,5.0,451.08
5289,2024-01-17,WH-West,Delivered,2.0,142.58
5290,2024-01-29,WH-North,,1.0,421.28
5291,2024-06-10,WH-East,Delayed,1.0,109.69
5292,2024-07-21,WH-South,Delivered,3.0,201.43
5293,2024-03-07,WH-East,Delivered,3.0,71.78
5294,2024-07-13,WH-East,Cancelled,5.0,264.24
5295,2024-03-14, WH-South,Delivered,4.0,64.06
5296,2024-05-12,WH-East,Delayed,,71.65
5297,2024-05-24, WH-South,Delivered,5.0,418.92
5298,2024-02-13,WH-North,Cancelled,2.0,179.75
5299,2024-07-11,WH-North,Delivered,4.0,93.06
5300,2024-06-26,WH-West,Cancelled,3.0,480.74
5301,2024-05-11,wh-north,Delivered,3.0,416.86
5302,2024-08-28,WH-South,Delayed,2.0,99.47
5303,2024-06-11,WH-West,,5.0,404.12
5304,2024-06-09,WH-East,Delivered,4.0,467.83
5305,2024-08-16,WH-North,Delayed,,61.33
5306,2024-02-22,WH-East,Delayed,5.0,275.54
5307,2024-04-07,WH-South,Delayed,2.0,289.2
5308,2024-07-12,wh-north,,1.0,206.82
5309,2024-03-24,WH-South,Delayed,,299.18
5310,2024-03-23,WH-West,Delayed,,398.05
5311,2024-05-28,WH-South,Delivered,4.0,339.22
5312,2024-06-27,wh-north,Delivered,3.0,185.68
5313,2024-06-29,WH-South,,2.0,488.65
5314,2024-07-04,wh-north,Cancelled,3.0,122.42
5315,2024-03-24,WH-East,,1.0,124.07
5316,2024-06-17,WH-South,Delayed,2.0,492.72
5317,2024-07-22, WH-South,Delivered,4.0,173.22
5318,2024-01-28,WH-North,Delivered,2.0,448.36
5319,2024-04-28,WH-North,Delayed,4.0,362.05
5320,2024-05-08,WH-East,Delayed,1.0,113.82
5321,2024-06-03,WH-West,Delivered,,159.03
5322,2024-08-06, WH-South,Cancelled,5.0,387.1
5323,2024-04-17, WH-South,,,446.03
5324,2024-07-17, WH-South,Cancelled,2.0,355.82
5325,2024-06-13,WH-West,Delayed,3.0,166.91
5326,2024-06-28,WH-West,Delivered,4.0,370.92
5327,2024-06-10,WH-East,Delayed,4.0,254.84
5328,2024-06-08,wh-north,,,468.59
5329,2024-02-16,WH-East,Delivered,4.0,424.34
5330,2024-08-20,WH-North,Delivered,5.0,148.05
5331,2024-07-02,wh-north,Delivered,1.0,431.22
5332,2024-04-26,WH-South,,4.0,280.49
5333,2024-06-12,wh-north,Delivered,4.0,383.95
5334,2024-04-26, WH-South,Delivered,4.0,281.21
5335,2024-08-26, WH-South,Cancelled,3.0,336.91
5336,2024-03-05,WH-West,Delayed,1.0,55.99
5337,2024-04-17, WH-South,,,208.46
5338,2024-03-08,WH-South,Delivered,,230.21
5339,2024-05-14,WH-West,Delayed,2.0,124.04
5340,2024-08-25, WH-South,Delivered,4.0,338.99
5341,2024-07-03,WH-South,Delivered,,337.46
5342,2024-07-28,WH-West,Delivered,5.0,342.32
5343,2024-07-18,WH-East,Delivered,3.0,366.89
5344,2024-06-24,WH-West,,2.0,266.71
5345,2024-07-25,WH-East,Delivered,2.0,344.48
5346,2024-03-23,WH-West,Delayed,5.0,336.79
5347,2024-06-17,WH-South,Delivered,4.0,75.68
5348,2024-07-30,WH-East,Delivered,5.0,424.1
5349,2024-06-11,WH-North,,1.0,144.39
5350,2024-01-19,WH-East,Delivered,5.0,95.68
5351,2024-02-06,WH-South,Delayed,3.0,403.2
5352,2024-02-23,wh-north,Delivered,5.0,451.01
5353,2024-06-04, WH-South,Cancelled,,427.46
5354,2024-02-20, WH-South,Delivered,5.0,85.38
5355,2024-08-02, WH-South,Delivered,5.0,103.29
5356,2024-04-17,WH-South,Delayed,4.0,300.74
5357,2024-05-03,WH-South,,4.0,160.95
5358,2024-02-12,wh-north,,1.0,122.16
5359,2024-03-23, WH-South,Cancelled,4.0,349.39
5360,2024-08-03,WH-East,Delayed,4.0,499.98
5361,2024-06-22,WH-South,,3.0,336.26
5362,2024-01-08,wh-north,Delivered,,381.44
5363,2024-03-25,wh-north,Delayed,4.0,390.73
5364,2024-02-06,WH-South,,4.0,331.38
5365,2024-03-27, WH-South,Delivered,3.0,263.54
5366,2024-05-14,WH-South,Delivered,4.0,203.88
5367,2024-03-05,WH-North,Delivered,3.0,209.83
5368,2024-05-06,WH-East,Cancelled,3.0,442.83
5369,2024-03-29, WH-South,Delayed,1.0,198.9
5370,2024-03-22,WH-East,Delivered,5.0,487.74
5371,2024-01-23,WH-West,,5.0,448.52
5372,2024-05-19,WH-North,Delayed,3.0,98.83
5373,2024-01-12,WH-West,Cancelled,,77.07
5374,2024-05-08,wh-north,Delayed,5.0,116.17
5375,2024-06-21, WH-South,Cancelled,,87.35
5376,2024-01-11, WH-South,Delayed,,393.2
5377,2024-01-26,WH-South,Delivered,4.0,398.54
5378,2024-08-22,WH-North,Delivered,2.0,403.94
5379,2024-05-23,WH-East,Delivered,2.0,239.8
5380,2024-03-22,WH-West,Cancelled,,310.23
5381,2024-08-21,WH-West,Cancelled,5.0,67.72
5382,2024-01-31,wh-north,,4.0,250.91
5383,2024-01-04,WH-West,Cancelled,5.0,496.91
5384,2024-06-17,WH-West,Delayed,5.0,95.92
5385,2024-06-13,WH-South,Delivered,,56.99
5386,2024-01-02, WH-South,,1.0,493.99
5387,2024-08-07,WH-South,Delivered,2.0,262.55
5388,2024-03-11,wh-north,Delivered,4.0,380.1
5389,2024-02-17,WH-East,,,362.68
5390,2024-02-07,WH-North,Delivered,,300.87
5391,2024-05-07, WH-South,Delivered,1.0,372.74
5392,2024-01-03,WH-North,,,417.8
5393,2024-01-21,WH-East,Delivered,,320.05
5394,2024-08-08,wh-north,Delivered,3.0,215.4
5395,2024-05-27,WH-West,Delayed,,124.91
5396,2024-07-23,WH-East,,2.0,333.37
5397,2024-04-16,WH-West,Delayed,3.0,403.08
5398,2024-05-25,WH-East,Delivered,1.0,329.83
5399,2024-06-15,wh-north,Delivered,5.0,376.57
5400,2024-01-04,wh-north,Delivered,5.0,242.85
5401,2024-08-15,WH-West,Delayed,,219.29
5402,2024-07-16,WH-West,Delivered,,50.76
5403,2024-03-08,WH-West,Delivered,5.0,464.27
5404,2024-07-14,WH-East,Delivered,5.0,116.15
5405,2024-08-05, WH-South,Delayed,3.0,290.55
5406,2024-05-18,WH-West,Delayed,2.0,404.46
5407,2024-07-03,WH-East,Cancelled,1.0,354.95
5408,2024-04-29,WH-South,Delivered,5.0,388.01
5409,2024-07-21,WH-West,Cancelled,1.0,291.27
5410,2024-03-31,WH-South,Delayed,5.0,284.47
5411,2024-03-07,WH-East,Delayed,5.0,315.2
5412,2024-02-18,WH-South,Delivered,2.0,412.64
5413,2024-03-15,wh-north,Cancelled,3.0,231.12
5414,2024-05-12,WH-South,Delivered,4.0,218.32
5415,2024-01-28, WH-South,Delayed,1.0,120.27
5416,2024-06-01,WH-East,Delivered,5.0,323.21
5417,2024-01-25,WH-South,Cancelled,4.0,314.02
5418,2024-02-24,WH-East,Delayed,1.0,475.92
5419,2024-07-15,wh-north,Delivered,3.0,429.69
5420,2024-03-27,WH-South,Delayed,1.0,62.38
5421,2024-01-09,WH-East,,4.0,269.08
5422,2024-08-04,wh-north,,4.0,464.97
5423,2024-06-29,WH-East,Delivered,5.0,154.94
5424,2024-01-23,wh-north,Delayed,2.0,251.75
5425,2024-02-10,WH-South,,2.0,127.46
5426,2024-08-29,WH-East,Delivered,5.0,457.06
5427,2024-08-02,WH-East,Cancelled,,382.81
5428,2024-07-13,WH-North,Delivered,2.0,192.96
5429,2024-01-02, WH-South,,3.0,315.4
5430,2024-04-22,WH-North,Delayed,3.0,217.26
5431,2024-04-09,WH-East,Delayed,4.0,125.86
5432,2024-03-02, WH-South,Delivered,4.0,372.75
5433,2024-02-19,WH-South,Delivered,1.0,470.29
5434,2024-08-09, WH-South,Delivered,4.0,481.08
5435,2024-08-25,WH-North,,1.0,253.55
5436,2024-03-27,WH-South,Delayed,1.0,332.68
5437,2024-02-06,WH-South,,1.0,131.11
5438,2024-04-25,WH-South,Delayed,2.0,169.88
5439,2024-04-15,WH-South,Delivered,3.0,306.95
5440,2024-03-16,WH-South,Delivered,4.0,99.16
5441,2024-04-26,WH-North,Delivered,5.0,75.58
5442,2024-08-17,WH-South,Cancelled,4.0,425.88
5443,2024-01-31,WH-South,Delivered,4.0,495.96
5444,2024-03-02,WH-North,Delayed,3.0,237.04
5445,2024-02-11, WH-South,Delivered,2.0,490.38
5446,2024-01-05,wh-north,Delivered,5.0,113.06
5447,2024-01-01,WH-East,Delivered,3.0,245.86
5448,2024-08-21,WH-South,Delivered,5.0,131.31
5449,2024-08-03,wh-north,Delivered,,129.03
5450,2024-06-02,WH-North,Cancelled,,272.97
5451,2024-03-11,WH-South,Delivered,5.0,351.45
5452,2024-06-09,wh-north,Delivered,2.0,54.52
5453,2024-06-26,wh-north,Delayed,,462.31
5454,2024-05-12,WH-East,Delivered,,439.03
5455,2024-05-06,WH-North,Delayed,4.0,109.98
5456,2024-06-19,WH-South,Delivered,5.0,424.23
5457,2024-04-03,WH-South,,3.0,308.71
5458,2024-08-07,WH-East,Cancelled,4.0,485.93
5459,2024-01-19,WH-East,,2.0,417.44
5460,2024-08-09, WH-South,Delayed,5.0,388.09
5461,2024-01-16,WH-North,,4.0,250.9
5462,2024-01-07,wh-north,Delivered,1.0,159.59
5463,2024-01-23,wh-north,Delivered,2.0,96.2
5464,2024-03-05,WH-North,Delivered,1.0,466.84
5465,2024-07-08,WH-East,Delivered,5.0,336.58
5466,2024-04-28,WH-South,,4.0,96.29
5467,2024-08-10, WH-South,Delivered,1.0,172.86
5468,2024-04-29,wh-north,Cancelled,3.0,99.52
5469,2024-02-01,WH-South,Cancelled,5.0,152.34
5470,2024-02-28, WH-South,Cancelled,4.0,385.96
5471,2024-02-12, WH-South,Delayed,,239.22
5472,2024-08-02,wh-north,Delivered,4.0,486.72
5473,2024-01-14,WH-East,Delayed,2.0,427.36
5474,2024-07-02,wh-north,Delivered,4.0,431.43
5475,2024-01-14,wh-north,Delivered,,470.45
5476,2024-03-04, WH-South,,1.0,213.99
5477,2024-05-15,WH-North,Delivered,4.0,140.35
5478,2024-06-20,WH-South,Delivered,4.0,486.36
5479,2024-07-17, WH-South,Delivered,1.0,65.47
5480,2024-06-13,WH-East,,5.0,173.04
5481,2024-05-18,wh-north,Delivered,3.0,104.76
5482,2024-01-04,WH-South,Delivered,3.0,100.87
5483,2024-03-29,WH-South,Delivered,1.0,317.43
5484,2024-08-23,WH-East,Delivered,4.0,315.61
5485,2024-08-26,WH-West,Delivered,5.0,109.12
5486,2024-03-16,wh-north,Delivered,3.0,159.53
5487,2024-01-23,wh-north,Delivered,4.0,324.48
5488,2024-05-25, WH-South,Delayed,2.0,296.86
5489,2024-04-03,wh-north,Delivered,5.0,265.04
5490,2024-07-28,WH-North,Delivered,3.0,149.71
5491,2024-05-11,WH-West,Cancelled,4.0,55.35
5492,2024-03-31,WH-South,Delivered,5.0,196.46
5493,2024-03-10,WH-South,Delivered,1.0,397.46
5494,2024-02-10,WH-North,Cancelled,3.0,247.99
5495,2024-01-16,WH-West,Delayed,3.0,380.94
5496,2024-01-28,WH-South,,,470.28
5497,2024-04-16, WH-South,Delivered,2.0,353.9
5498,2024-06-06,WH-East,Cancelled,1.0,382.44
5499,2024-07-09,WH-East,,,334.46
5500,2024-06-29,WH-West,Delivered,1.0,234.69
5305,2024-08-16,WH-North,Delayed,,61.33
5341,2024-07-03,WH-South,Delivered,,337.46
5048,2024-06-08,WH-North,Delayed,,204.8
5068,2024-05-16,wh-north,Delivered,,285.44
5480,2024-06-13,WH-East,,5.0,173.04
5486,2024-03-16,wh-north,Delivered,3.0,159.53
5311,2024-05-28,WH-South,Delivered,4.0,339.22
5032,2024-02-23,WH-South,Delivered,3.0,320.33
5250,2024-02-13,WH-North,Cancelled,1.0,336.34
5091,2024-05-09,WH-South,Cancelled,4.0,160.56
5323,2024-04-17, WH-South,,,446.03
5169,2024-07-02,WH-East,,4.0,139.14
